text,timestamp,like_count,vaderSentiment,naiveBayesSentiment,svmSentiment,logisticRegressionSentiment
"We are proud PRESIDENT BBM. Very knowledgeable, articulate and confident. God bless you and your family. Also our Vice president. SARA. GOD BLESS YOU BOTH. 🙏🙏❤️❤️🇵🇭🇵🇭",2021-12-07 00:00:00,,positive,positive,positive,positive
We are proud for our next President BBM❤️❤️GOD bless always and protect BBM and his family🙏🙏🙏🇵🇭🇵🇭🇵🇭,2021-12-07 00:00:00,,positive,positive,positive,positive
Mga hindi mahal ng nanay. 😁,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Robert Basan Abella Jr. malungkot buhay kasi wala Mama Lenlen nila para magkalat 😞😞,2021-12-07 00:00:00,,neutral,neutral,negative,neutral
Robert Basan Abella Jr. Mga bagsak dn sa thesis boss😁,2021-12-07 00:00:00,,neutral,positive,negative,neutral
Robert Basan Abella Jr. mga .002% lang sila sir😂😂,2021-12-07 00:00:00,,neutral,positive,negative,negative
Robert Basan Abella Jr. mga 5 days old babies 😅,2021-12-07 00:00:00,,neutral,positive,negative,neutral
Robert Basan Abella Jr. nabyag nga alis dagita Sir!,2021-12-07 00:00:00,,neutral,positive,neutral,neutral
mga pinklawan mga yan🤣🤣,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
"Robert Basan Abella Jr. mahal po sila ng nanay nila, si Leni 😂😂",2021-12-07 00:00:00,,negative,neutral,negative,negative
Robert Basan Abella Jr. Tinakwil ng pamilya mga yan 🤣,2021-12-07 00:00:00,,neutral,neutral,negative,negative
"Robert Basan Abella Jr. Kaya ayuko makipag away dito sa comment section kasi baka ma ban nanaman ako ng 30 days. Baka mareport. Kaya hayaan nyo nalang sila at wag pakialaman. Let's Support BBM nalang.
Kahit wala sila respect intindihin nyo nalang.",2021-12-07 00:00:00,,positive,neutral,neutral,neutral
Robert Basan Abella Jr. Salamat daw sabi n BBM sa lahat ng nanonood 😂,2021-12-07 00:00:00,,neutral,positive,positive,positive
"Robert Basan Abella Jr. Buti nalang mahal nila anak nila, ung ninakaw nila pinamana kay Bong Bong mo hihi🤭",2021-12-07 00:00:00,,neutral,neutral,neutral,negative
PINK = Pinagbuklod Ito Ng Kabobohan,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Robert Basan Abella Jr. At may galit emo pa..kaawa naman sila...ginalit ni BBM,2021-12-07 00:00:00,,neutral,negative,negative,neutral
mga 18 hours din tawa nila 😂,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Robert Basan Abella Jr. Hahaha pustahan mga ngpapanggap na account karamihan jan BITTER at tulog pa!,2021-12-07 00:00:00,,positive,negative,negative,negative
EJ Subiere same pigil na pigil na rin ako mabait na ko ngyon hahaha wag mo na itanong pang ilan acct na to hahaaha,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
Robert Basan Abella Jr. Mha kulang sa aruga ng inang nila yan🤣,2021-12-07 00:00:00,,neutral,neutral,negative,negative
Robert Basan Abella Jr. Masaya lng cla kc panalo na c BBM promise,2021-12-07 00:00:00,,positive,positive,positive,positive
Robert Basan Abella Jr. C bbm lng Ang my tunay na pgmmhal sa kapwa ♥️💚,2021-12-07 00:00:00,,neutral,positive,positive,positive
Robert Basan Abella Jr. Mga nawawalang trolls,2021-12-07 00:00:00,,neutral,negative,negative,negative
"Robert Basan Abella Jr. Truth! Yung nagtangka sila pero 0.35% lang sila sa total ng nag react 😅🤣

#BBMSARA2022 ✌👊",2021-12-07 00:00:00,,negative,neutral,positive,neutral
Anja Malics maranasan nyo Rin hahahha mga psawy KC hahaha ramdm karati lng sign nun na ban q 24 h haha kamag ank n ata ni monton i2 hahhaha,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
EJ Subiere grabing tawa ko wag na patulan malmng cla Malala pa hahaha 🤣🤣😅😅,2021-12-07 00:00:00,,positive,positive,neutral,neutral
Melbeth Esteban Taba lahat po naranasan ko na ban 30 dys lahat na tapos hindi na nabalik acct ko wag mo na itanong pang ilan na to grabe kaya bait nko pero minsan para kay BBM nakakasagot pa rin hahhahaha,2021-12-07 00:00:00,,negative,neutral,neutral,neutral
Anja Malics may ganun aq Yun lang karati sign lng ban agd 🤣 pakabait na q kaya mga picture nlng send ko din pag gusto ko pag laban c bbm sara 🥰,2021-12-07 00:00:00,,negative,positive,neutral,neutral
Melbeth Esteban Taba hahaaha ok :) BBMSARA LANG,2021-12-07 00:00:00,,positive,neutral,neutral,neutral
bagay na bagay,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Robert Basan Abella Jr. Hahahaha omsim puro talak sa socmed haha!,2021-12-07 00:00:00,,positive,negative,positive,neutral
Tama ka dyan. Ako mang-aasar na lang ako. Maawa tayo sa mga kulelat. Kawawa naman sila.,2021-12-07 00:00:00,,neutral,neutral,neutral,neutral
Robert Basan Abella Jr. Mga trolls cguro😄..Basta ako solid #BBMSARA lng,2021-12-07 00:00:00,,positive,positive,negative,neutral
Mabuhay po kayo our president your brilliant we are proud Mabuhay,2021-12-07 00:00:00,,positive,positive,positive,positive
A brilliant inteligence proud it!.like FATHER like Son.BONGONG MARCOS . May the LORD GOD protect you alwys and your family.,2021-12-07 00:00:00,,positive,positive,positive,positive
our future President congrats po stay safe Gos bless your family we are very proud of you.,2021-12-07 00:00:00,,positive,positive,positive,positive
"You are like your father very intelligent and kind person ,
God bless your family and stay safe always ✌️👊❤️❤️❤️❤️❤️",2021-12-07 00:00:00,,positive,positive,positive,positive
"God bless & protect our president BBM THE HOPE OFOUR COUNTRY...WITH VICE PRESIDENT SARAH..MAKE OUR COUNTRY BE KNOWN TO THE WORLD FOR ITS PROSPERITY & PEACEFUL PLACE TO LIVE IN BY YOUR OWN LEADERSHIP...MA
BUHAY ANG PILIPINAS.",2021-12-07 00:00:00,,positive,positive,positive,positive
We are very proud of you our next president ❤️ you answered it correctly very knowledgeable keep safe po and God will protect always 😇❤️🇵🇭,2021-12-07 00:00:00,,positive,positive,positive,positive
You are the best among the rest Sir. Good luck and always take care on travelling around the Philippines 🇵🇭 God bless🙏🙏🙏,2021-12-07 00:00:00,,positive,positive,positive,positive
I salute you my President ! God bless you and protect you always !,2021-12-07 00:00:00,,positive,positive,positive,positive
"Well done po. May God continue to bless you with wisdom and courage. We need a leader like you. Kudos BBM /Sarah, the Marcoses and supporters.",2021-12-07 00:00:00,,positive,positive,positive,positive
"Congratulations
sir! From the start you already have my vote. Now my partner saw yoyr potential he might change his mind and you will win him over soon. Although he is American by citizenship but he is a Filipino by heart.❤🇵🇭🇺🇲",2021-12-07 00:00:00,,positive,positive,positive,positive
"Congratulations
BBM2022 May God Continue to bless you and your family ❤",2021-12-07 00:00:00,,positive,positive,positive,positive
You are the best! May god bless you always.,2021-12-07 00:00:00,,positive,positive,positive,positive
