text,createdAt,likeCount,vaderSentiment,naiveBayesSentiment,svmSentiment,logisticRegressionSentiment
Pahayag ni Rep.-elect Leila M. de Lima Ukol sa mga ulat ng posibleng hindi pag-usad ng impeachment laban kay VP Sara Duterte 29 Mayo 2025 https://t.co/dM0oHyNJIU,2025-05-29 12:18:45,1602,neutral,neutral,neutral,neutral
Utos ni Duterte at Bong Go https://t.co/KPpjpdHwl9,2025-05-23 12:55:43,735,neutral,neutral,neutral,neutral
Noon pa man malalim na ang koneksyon ni Duterte sa illegal drugs  His war on drugs was just a FRAUD 😳 https://t.co/MJOGirINiI,2025-05-26 21:59:43,3870,negative,neutral,neutral,neutral
i forgot how messy the 2016 presidential elections were. granted i was like 11 years old nun pero tangina ang funny nung away ni mar roxas at duterte 😭😭 clip from WOTL https://t.co/GSpHI9j95j,2025-05-26 10:56:22,12863,positive,neutral,neutral,neutral
"TINGNAN | Binisita ni Vice President Sara Duterte ang Duterte Photo Exhibit sa Laan Van Reagan en Gorbatsjov Street sa The Hague, Netherlands.  Tampok sa nasabing exhibit ang legasiyang iniwan ni dating Pangulong Rodrigo Duterte. | vi @iamjaysrubrico https://t.co/joZervUmk3",2025-05-29 22:22:12,39,neutral,neutral,neutral,neutral
"PNoy was really RIGHT all along. Ganitong ganito ang ginawa ng KAMPO ng mga duterte. Ang KAKAPAL ng mga PAGMUMUKHA.  BATO BATO SA LANGIT, ANG TAMAAN AY NAKULONG SA THE HAGUE.  BATO BATO SA LANGIT, ANG TAMAAN AY MALAPIT NG MA-IMPEACHED. https://t.co/KGnghIL8CX",2025-05-27 22:33:33,8321,neutral,neutral,neutral,neutral
"Arthur Tugade, Mark Villar, Rodrigo Duterte, sino ngayon ang makakapal ang mukha..?? Hindi pa nasiyahan na angkinin ang mga nasimulan ni Pnoy, may kasama pa na paninira..😠😠 https://t.co/53mPy9R7CX",2025-05-25 01:52:53,2063,neutral,neutral,neutral,neutral
"Pilipinas, Duterte pa rin. Not once but twice! 🫡🇵🇭👊🏼 https://t.co/GMshipoGWo",2025-05-26 11:55:50,363,neutral,neutral,neutral,neutral
"'THE REAL PROSECUTOR IS IN MANILA, SITTING IN HIS PALACE'  Tinuligsa ni Atty. Kaufman ang umano’y pamumulitika sa likod ng kaso laban kay dating Pang. Duterte, kasabay ng pahayag na ginagamit lamang ang ICC bilang kasangkapan sa kampanyang pulitikal ng kasalukuyang administrasyon https://t.co/sJUosnCfTI",2025-05-23 10:07:49,508,neutral,neutral,neutral,neutral
"lol Why NOT SARA DUTERTE RESIGN first, since wala naman ginagawa &amp; puro ewan sa DEPED days record niya.. 👊👊👊 https://t.co/RIzfQnXzdv",2025-05-29 02:12:56,320,positive,neutral,neutral,neutral
VP Sara Duterte visited the Duterte Photo Exhibit at Laan Van Reagan en Gorbatsjov Street in The Hague https://t.co/PVAWzCx6vP,2025-05-29 22:17:31,86,neutral,neutral,neutral,neutral
DUTERTE 👊🦅💚🇵🇭 Most loved VP &amp; President of the Philippines @BBCBreaking  @BBCWorld  @BBCNews https://t.co/0ZrMZHp4C2,2025-05-22 02:46:12,569,positive,positive,positive,positive
Propaganda I'm not falling for:  Makabayan is pro-Marcos because they're anti-Duterte  Makabayan is pro-Duterte because they're anti-Marcos  Makabayan is pro-US because they're anti-China  Makabayan is pro-China because they're anti-US,2025-05-27 10:59:49,1169,negative,negative,negative,negative
Humanda kayo @LorraineTBadoy @smninews!!! https://t.co/B4CT4HO96m,2025-05-23 05:58:17,5605,neutral,neutral,neutral,neutral
"TINGNAN | Vice President Sara Duterte kasama ang kanyang inang si Elizabeth Zimmerman, dumating na sa Amsterdam, Netherlands, araw ng Miyerkules, May 28, 2025.  📸 OVP https://t.co/EaqsR0mwyp",2025-05-29 00:52:35,51,neutral,neutral,neutral,neutral
"Hindi talaga dapat i-downplay ang Duterte influence. For all the hype over Bam and Kiko, the Duterte side still scored a tactical victory in the 2025 elections.",2025-05-28 01:39:10,2186,neutral,neutral,neutral,neutral
PUTANGINA KA @IskoMoreno.   Basura at basurero rolled into one corrupt politician!!! https://t.co/2JuGGokIan,2025-05-20 17:08:09,5981,neutral,neutral,neutral,neutral
Duterte BLOODBATH 👊 https://t.co/QDt9Y1XDy8,2025-05-25 14:57:06,876,neutral,neutral,neutral,neutral
"The truth is, impeaching Sara Duterte is a no-brainer. Her guilt is clear as day even without a trial. #ImpeachSaraDuterteNow  #TraitorsFromDavao",2025-05-30 05:39:43,4,positive,negative,neutral,negative
