text,timestamp,like_count,sentiment
"we are proud president bbm. very knowledgeable, articulate and confident. god bless you and your family. also our vice president. sara. god bless you both.",2021-12-07 0:00:00,,positive
we are proud for our next president bbmgod bless always and protect bbm and his family,2021-12-07 0:00:00,,positive
mga hindi mahal ng nanay.,2021-12-07 0:00:00,,negative
robert basan abella jr. malungkot buhay kasi wala mama lenlen nila para magkalat,2021-12-07 0:00:00,,negative
robert basan abella jr. mga .002 lang sila sir😂😂,2021-12-07 0:00:00,,negative
robert basan abella jr. nabyag nga alis dagita sir!,2021-12-07 0:00:00,,neutral
mga pinklawan mga yan,2021-12-07 0:00:00,,neutral
"robert basan abella jr. mahal po sila ng nanay nila, si leni 😂😂",2021-12-07 0:00:00,,negative
robert basan abella jr. tinakwil ng pamilya mga yan,2021-12-07 0:00:00,,negative
robert basan abella jr. kaya ayuko makipag away dito sa comment section kasi baka ma ban nanaman ako ng 30 days. baka mareport. kaya hayaan nyo nalang sila at wag pakialaman. let's support bbm nalang. kahit wala sila respect intindihin nyo nalang.,2021-12-07 0:00:00,,neutral
robert basan abella jr. salamat daw sabi n bbm sa lahat ng nanonood 😂,2021-12-07 0:00:00,,positive
"robert basan abella jr. buti nalang mahal nila anak nila, ung ninakaw nila pinamana kay bong bong mo hihi",2021-12-07 0:00:00,,negative
pink pinagbuklod ito ng kabobohan,2021-12-07 0:00:00,,negative
robert basan abella jr. at may galit emo pa..kaawa naman sila..ginalit ni bbm,2021-12-07 0:00:00,,negative
mga 18 hours din tawa nila 😂,2021-12-07 0:00:00,,positive
robert basan abella jr. hahaha pustahan mga ngpapanggap na account karamihan jan bitter at tulog pa!,2021-12-07 0:00:00,,negative
ej subiere same pigil na pigil na rin ako mabait na ko ngyon hahaha wag mo na itanong pang ilan acct na to hahaaha,2021-12-07 0:00:00,,positive
robert basan abella jr. mha kulang sa aruga ng inang nila yan,2021-12-07 0:00:00,,negative
robert basan abella jr. masaya lng cla kc panalo na c bbm promise,2021-12-07 0:00:00,,positive
robert basan abella jr. c bbm lng ang my tunay na pgmmhal sa kapwa,2021-12-07 0:00:00,,positive
robert basan abella jr. mga nawawalang trolls,2021-12-07 0:00:00,,negative
robert basan abella jr. truth! yung nagtangka sila pero 0.35 lang sila sa total ng nag react bbmsara2022,2021-12-07 0:00:00,,positive
anja malics maranasan nyo rin hahahha mga psawy kc hahaha ramdm karati lng sign nun na ban q 24 h haha kamag ank n ata ni monton i2 hahhaha,2021-12-07 0:00:00,,positive
ej subiere grabing tawa ko wag na patulan malmng cla malala pa hahaha,2021-12-07 0:00:00,,positive
melbeth esteban taba lahat po naranasan ko na ban 30 dys lahat na tapos hindi na nabalik acct ko wag mo na itanong pang ilan na to grabe kaya bait nko pero minsan para kay bbm nakakasagot pa rin hahhahaha,2021-12-07 0:00:00,,neutral
anja malics may ganun aq yun lang karati sign lng ban agd pakabait na q kaya mga picture nlng send ko din pag gusto ko pag laban c bbm sara,2021-12-07 0:00:00,,positive
bagay na bagay,2021-12-07 0:00:00,,neutral
tama ka dyan. ako mangaasar na lang ako. maawa tayo sa mga kulelat. kawawa naman sila.,2021-12-07 0:00:00,,neutral
mabuhay po kayo our president your brilliant we are proud mabuhay,2021-12-07 0:00:00,,positive
a brilliant inteligence proud it!.like father like son.bongong marcos . may the lord god protect you alwys and your family.,2021-12-07 0:00:00,,positive
our future president congrats po stay safe gos bless your family we are very proud of you.,2021-12-07 0:00:00,,positive
"you are like your father very intelligent and kind person , god bless your family and stay safe always",2021-12-07 0:00:00,,positive
god bless protect our president bbm the hope ofour country..with vice president sarah..make our country be known to the world for its prosperity peaceful place to live in by your own leadership..ma buhay ang pilipinas.,2021-12-07 0:00:00,,positive
we are very proud of you our next president you answered it correctly very knowledgeable keep safe po and god will protect always,2021-12-07 0:00:00,,positive
you are the best among the rest sir. good luck and always take care on travelling around the philippines god bless,2021-12-07 0:00:00,,positive
i salute you my president ! god bless you and protect you always !,2021-12-07 0:00:00,,positive
"well done po. may god continue to bless you with wisdom and courage. we need a leader like you. kudos bbm sarah, the marcoses and supporters.",2021-12-07 0:00:00,,positive
congratulations sir! from the start you already have my vote. now my partner saw yoyr potential he might change his mind and you will win him over soon. although he is american by citizenship but he is a filipino by heart.,2021-12-07 0:00:00,,positive
congratulations bbm2022 may god continue to bless you and your family,2021-12-07 0:00:00,,positive
you are the best! may god bless you always.,2021-12-07 0:00:00,,positive
"brilliant brave man,, god bless my president.",2021-12-07 0:00:00,,positive
zudoarichikito mekashita wag ka dito bawal pink dito hahahha,2021-12-07 0:00:00,,negative
congrats sir bbm we are proud of you.god bless u and ur family.,2021-12-07 0:00:00,,positive
kudos! you nailed it! keep safe always sir godbless!..,2021-12-07 0:00:00,,positive
congratulations to our soon mr. president godbless and keep safe always praying for your goodluck!!,2021-12-07 0:00:00,,positive
kudos to our future president for your brilliant answers! we are so proud of you! god bless always. we love you!,2021-12-07 0:00:00,,positive
"myra divinagracia modesty aside ak ko lang nasaan na kaya yung mga nagsasabing duwag si bbm, makapanira sila eh sila naman pala itong certifiedduwag",2021-12-07 0:00:00,,negative
"nitz ringpis torrado yaan na po, at least hindi tayo bulag para makita natin kung ano ang totoo at kung sino ang dapat ilukluk. god looks at the heart po, kaya sya ang bahala sa mga mapanira na yan.",2021-12-07 0:00:00,,positive
"nitz ringpis torrado oo nga grabe,at kaya naduwag eh dhil hnd nila kakayanin ang ganong sitwasyon,dhil may plataforma na tlga c bbm,eh ung iba,puro pangbebengga lng ang alam at mga pasaring",2021-12-07 0:00:00,,negative
myra divinagracia may point ka dyan. lets all pray together na wala na namang dayaan na magaganap sa halalan.,2021-12-07 0:00:00,,positive
"nitz ringpis torrado yes, always praying po.",2021-12-07 0:00:00,,positive
"kudos our president brilliant, smart ideas and point of views for a better philippines looking forward with success in everything you, with the guidance of our lord. we love and support you mahal naming pangulo ng pilipinas, god bless you always",2021-12-07 0:00:00,,positive
bbm is the best i salute on you. good job sir your answers goes directly to the questions. god bless you!,2021-12-07 0:00:00,,positive
congrats our soon pres philippines is blessed to have u god bless you,2021-12-07 0:00:00,,positive
very proud of you our 2022 president..brav e and intelligent .you nailed it..,2021-12-07 0:00:00,,positive
"congratulations to our pbbm,very knowledgeable and answered questions with sincerity proud of you sir.may god bless you more wisdom and strenght in leading our country.",2021-12-07 0:00:00,,positive
"congratulations , we're so proud of you! stay safe and healthy. god bless you and your family. thank you for inspiring us and you're great message of unity .",2021-12-07 0:00:00,,positive
"congrats sir,,wr proud of u,,ur the nxt president,,our vote is for ur team.only..stay safe always,,god bless..",2021-12-07 0:00:00,,positive
"i am so proud of u mr, bbm, u did a great job during the smni pres debate, god bless u po and congrats",2021-12-07 0:00:00,,positive
gie joy galing nya insan..amang ama nya pati boses. congrats bbm,2021-12-07 0:00:00,,positive
"panela lina oo nga cuz, tinapos ko tlga ang haba but it worth, i learned a lot too",2021-12-07 0:00:00,,neutral
gie joy yan ang maganda cuz on the spot ang tanong..di yun ibibigay ang question in advance. dyan magkakaalam kung solido ang sagot ng bawat kandidato.,2021-12-07 0:00:00,,positive
"we are proud of our 17th president. very knowledgeable, articulate and confident. god bless and protect you and your family always bbm sara",2021-12-07 0:00:00,,positive
michaela tabing wong amen so be it in jesus name,2021-12-07 0:00:00,,neutral
michaela tabing wong oxford kc talagang genius like his father.,2021-12-07 0:00:00,,positive
michaela tabing wong solid,2021-12-07 0:00:00,,positive
michaela tabing wong parang gusto nilang gawin na historical people ng edsa at martial law si bongbong marcos bakit kaya eh hindi naman siya yun kundi tatay naman niya na si ferdinand marcos yun parang kwentong anak naman yata yan eh did dapat ang kwento ay anak ng edsa at martial law historical story in the name of the father and son,2021-12-07 0:00:00,,neutral
michaela tabing wong in cabalastic no.17 is equal to 8 and no.8 is the successful number in any endavore,2021-12-07 0:00:00,,neutral
"started at 12 midnight in nz, ended just after 4am, had only 2 hours of sleep before going to work but it is totally worth it. congrats to the four participants, salute to you all and to smni for a job well done",2021-12-07 0:00:00,,neutral
"congratulations sir, job well done your answer enlighten those who still undecided.",2021-12-07 0:00:00,,positive
"kudos to the 4 of you , sir ! respect",2021-12-07 0:00:00,,positive
congrats po in advance. god bless,2021-12-07 0:00:00,,positive
so brilliant pops! god bless you,2021-12-07 0:00:00,,positive
well prepared and fitted to become our next president. i watched it yesterday i am so satisfy on your answers to all political issues. you have a brilliant mind senator. feels like thesis defense when prof. clarita asking you a questions but you nailed it. god bless po.,2021-12-07 0:00:00,,positive
chris mendoza di nag pakabog sa mukhang terror na profesor.ako ang kinabahan nang makita ko ang aura ni prof.clarita carlos.piniga talaga ni prof.ang next presidentgood job bbm,2021-12-07 0:00:00,,positive
salute to you sir. your the most qualified for the position!god bless and keep safe always,2021-12-07 0:00:00,,positive
yes a brilliant answers from out next president bbm. he got his intelligence from his father a proud dad. god bless bbm and the whole marcos families and relatives,2021-12-07 0:00:00,,positive
"jessamyn adrian yes super matalino tlga c bbm ,my humble heart sa lahat",2021-12-07 0:00:00,,positive
jessamyn adrian never straight to the point ang mga answers??,2021-12-07 0:00:00,,negative
"congrats po sir! as an ordinary citizen of our beloved philippines i can say that the debate was very informative, we have learned a lot po while listening to you and the other candidates.. mabuhay!",2021-12-07 0:00:00,,positive
remz lyn palacsa caling,2021-12-07 0:00:00,,neutral
leah lyn jose updated na din sila,2021-12-07 0:00:00,,neutral
congratulations to be soon president stay safe and god bless!,2021-12-07 0:00:00,,positive
"congratulations po, so proud of you. we love you bbm! god bless",2021-12-07 0:00:00,,positive
"maraming salamat po sir bbm for your tireless efforts not only in campaigning in the streets but more so in letting us know your platforms plans for our country. you came to the smni debate prepared and ready, and delivered with confidence and humility. god bless you more.",2021-12-07 0:00:00,,positive
congrats sir bbm.. im proud of you.. your the best .. we love you and god bless you always,2021-12-07 0:00:00,,positive
"proud to be a filipino because of you sir bbm, you really are the destined to be the next pres.of this country. kudos to the 4 hours debate and you answered all the question intelectually, great country needs a great leader like you, with vision, goals and love to the entire philippines. mabuhay po kayo, bbmsara202. uniteam lang",2021-12-07 0:00:00,,positive
buti nalang naka habol ang mga absent bbmsara2022,2021-12-07 0:00:00,,positive
ginisang sabaw fyi ndi ako leni supporter. ur barking at d wrong tree po. im refering to leni s comment ko. sila lang n ni pacman ang kamoteng sumagot kpag wlng advance questions at live interview.,2021-12-07 0:00:00,,neutral
"ginisang sabaw pwede naman dumalo, prof.c, castro question? leni,isko,manny ..mam may we go out. mam can i go to cr",2021-12-07 0:00:00,,neutral
joshua john flores orongan kala ko ba sabi ni pakyaw harap harapan sagutan 😂😂 pero diko alam excited ako pag si lugaw anjan e mapupuno nanaman ng joke lalaban pa more,2021-12-07 0:00:00,,positive
joshua john flores orongan hahaha akala ba natin conflict schedules but why did not lost connections.,2021-12-07 0:00:00,,neutral
jina saberola maka ihi yong 4 pag uma attend. at mag say excuse mam mag jijingle ho.,2021-12-07 0:00:00,,negative
ja red na puro babae😂😂,2021-12-07 0:00:00,,negative
joshua john flores orongan carry on na cla ni bbm,2021-12-07 0:00:00,,negative
michael salazar gonzaga magkkatabing nakatago,2021-12-07 0:00:00,,negative
nangongopya mga yan! hahahah,2021-12-07 0:00:00,,negative
joshua john flores orongan 😂,2021-12-07 0:00:00,,neutral
joshua john flores orongan mga certifiedduwag sila,2021-12-07 0:00:00,,negative
joshua john flores orongan nag online class po sila apat.,2021-12-07 0:00:00,,neutral
"joshua john flores orongan naghahanap at malamng kumukuha ng idea sa mga panelists at guests, ahahaha.. wala kasi sila maisasagot pag anjan sila, mga kamote.",2021-12-07 0:00:00,,negative
"joshua john flores orongan pinasalamatan pa kayong apat ng future pangulo, heheh",2021-12-07 0:00:00,,positive
sa susunod na debate iinom aq png maintenance ng lola qoh😂😂,2021-12-07 0:00:00,,neutral
"duwag talaga ung apat gusto nila sa gma, kbp, ccn, at comelec debate lng cla pupunta.. buti p c bbm sa smni lng pupunta kc inindorso cxa ni quibuloy at hindi pa bias wala cla kinikilinga peo pwede magindorso.. bbm lng kaya humarap sa lahat wala iniiwasan walang bias sa kaya.. unity nga db..",2021-12-07 0:00:00,,positive
joshua john flores orongan sabi ko na nga absent sila pero present sa live streaming hahaha cgurado covopyahin ang mga sagot kung sakali i question sa kanila un,2021-12-07 0:00:00,,negative
nanood lng sila..,2021-12-07 0:00:00,,neutral
joshua john flores orongan nagtatake note sila kase online class nila yan.para sa sunod na quiz may alam sila isasagot.peace!,2021-12-07 0:00:00,,neutral
"michael salazar gonzaga yon nga eh,hahaha,tpos sv may mga appointment na hahaha,ano kya feeling nila habng nanonood",2021-12-07 0:00:00,,neutral
sakalam lang ang umattend. nanunuod lang ang mga duwag,2021-12-07 0:00:00,,neutral
joshua john flores orongan naka modular classes sila kay professor!!,2021-12-07 0:00:00,,neutral
online class yern??,2021-12-07 0:00:00,,neutral
alhissa jane magbuhos gusto pa cute na questions ayaw nya sa difficult,2023-12-07 0:00:00,,negative
joshua john flores orongan battle of the brain ligtas ang walang alam. 4 presidential candidates left the group.,2021-12-07 0:00:00,,negative
we are so proud of you bbm!! i salute! god bless,2021-12-07 0:00:00,,positive
"""in difficult moment hindi sya nag papakita"" prof. clarita carlos",2021-12-07 0:00:00,,negative
ghie andres bagacina si nanay leni.yun.hindi umattend kasi baka takot kay prof clarita,2021-12-07 0:00:00,,negative
nag papa picture lang kasi,2021-12-07 0:00:00,,neutral
popoy son roxas https m.facebook.com story.php?story_ fbid5388775761 151929id100 0586765074,2021-12-07 0:00:00,,neutral
