text,timestamp,likes,sentiment,Unnamed: 4
"happy mother's day to my mom. thank you for being the best, mama for me. to my lola who taught me the concept of giving. to my titas, for constantly reminding me to keep my faith in the lord. to madam leni robredo, for giving me so much hope for a better tomorrow.",2022-05-07 23:59:59,1,positive,
"naiiyak ako, vp leni ipapanalo ka namin",2022-05-07 23:59:50,10,positive,
i am rooting for that silent majority! we need leni!,2022-05-07 23:59:34,0,positive,
"ni isa wala akong napuntahang rally ni vp leni, ano po feeling ng pinapayagan? _",2022-05-07 23:59:34,2,neutral,
"leni, i love you but at this point i gotta call the cops on you bruv",2022-05-07 23:59:34,0,negative,
abah?? mana sa idol nya..lakas ng tama ah? wala pang election..panalo na daw sila? wag dalasan ang paggamit ng coke..nakaka tanga yan loser? tinamaan si babym. kahit mare count ng 3 times talo pa rin,2022-05-07 23:59:33,1,negative,
shes exhausted and tired due to the heat. but why is there a tarpaulin covering half of her body. this is one of the reasons why the supporters will be the reason why leni would fail.,2022-05-07 23:59:22,0,negative,
im the only one supporting leni in our house. imagine what i hear everyday,2022-05-07 23:59:21,0,negative,
parang mas may tendency magbayad ang unithieves. boluntaryong nakikilahok ang nga nasa lenikiko di ka siguro makapaniwala kasi para sayo pahat dapat bayad kasi wala kang konsepto ng volunteerism. sa inyo nga bayad na artista na nga mga laos pa hahaha squammy kasi kayo,2022-05-07 23:59:21,1,negative,
"pag nanalo si leni at kiko, ang motto na respect my opinion na sikat sa panig ng isang kandidato, magiging, i invoke my rights against self incrimination. linisin ang gobyerno!",2022-05-07 23:59:11,2,positive,
"lord please gabayan niyo po ang lahat sa monday. naway ipanalo niyo po ang kabutihan, ipanal niyo po si leni at kiko.",2022-05-07 23:59:06,8,positive,
"sa pinsan kong lss na sa rosas, leni na tayo pls.",2022-05-07 23:58:55,1,positive,
"dear filipinos, even michael jordan and scottie pippen needed an elite supporting cast. let's not forget to vote for lenikiko's supporting cast, their senatorial slate. ipana7ona10parasalahat",2022-05-07 23:58:42,0,positive,
history in the making of 1m supporters of vp leni meeting de avance in makati.,2022-05-07 23:58:27,0,neutral,
"akala ko ba cool lang daw ang kampanya ng mga iskonians, move on na daw, pero hanggang sa huli talaga me patama pa rin kay vp leni, kahit di naman sya pinapansin! o baka kaya mainit ang ulo dahil di pinapansin?",2022-05-07 23:58:26,8,negative,
"i have readheard many speeches and i have written a few myself, and i can say that vp leni's speech in the makati mda was definitely was one of the best speeches ever writtenand delivered! lenikiko2022 kakampinks tropangangat gobyernongtapatangatbuhaylahat",2022-05-07 23:58:22,2,positive,
not today. watch it for me!!,2022-05-07 23:58:14,0,neutral,
anxiety week is here elections and retdem sa iisang week bumagsak man ako sa retdem ok lang basta may pres. leni robredo at vp kiko pangilinan ok na ako,2022-05-07 23:58:07,6,positive,
kinakabahan ako for tomorrow's election pero malaki ang pagasa kong si leni ang mananalo as president at si kiko for vicepresident!! lenikiko2022 lenikikoalltheway2022 ipana7ona10toparasalahat ibotona10pilipinas,2022-05-07 23:58:03,0,positive,
"when we say hakot, ganito yun yung may bayad hahaha pinapareho nyo kasi sa volunteers ng leni camp e",2022-05-07 23:58:02,1,neutral,
sagot ko na pork sa samgy sa grad pic kapagnanalo si vp leni hahahahah,2022-05-07 23:58:02,0,positive,
"mawalang galang lang po, supreme court has decided the case in favor of leni , kung hindi ka maniniwala sa highest court of the land ? sa an ka maniniwala sa face book sa tik tok? magbasa basa ka naman bago ka magmamagaling . nakakahiya naman sa mga nagbabasa.may god bless you.",2022-05-07 23:57:59,1,negative,
wala akong narinig na sinabi ni prrd na mas malakas si leni.. pwede ba?,2022-05-07 23:57:56,0,neutral,
mga sumusuka sa inuman for leni 😭 okay byee,2022-05-07 23:57:56,1,positive,
lening leni ka jan! di mo ba nagets! magnanakaw rin si leni kaloka junkshop mo na pagiging public teacher mo,2022-05-07 23:57:49,0,negative,
"kagabi sa inuman, dinidiscuss ko plataporma ni leni. sabi ko sa kanila kahit wag na si leni basta sa senador iboto si diokno tas colmenares.",2022-05-07 23:57:49,1,postiive,
nope. see my post about that. btc call was a week before munger,2022-05-07 23:57:45,0,neutral,
masasakit ang likod for leni,2022-05-07 23:57:33,0,positive,
at least after may 9 vp leni can spend more time with her all girl daughters.,2022-05-07 23:57:27,8,positive,
"nagkakaron nako ng preelection anxiety. vp leni, wag kang mag alala, ipapanalo ka namin!!",2022-05-07 23:57:21,10,positive,
ma bbmsara or lenikiko man ang ma daog friend gyapon ta ha? lavern pilipinas!!,2022-05-07 23:57:05,1,positive,
"happy mothers day, mama leni!!",2022-05-07 23:57:05,0,positive,
"hangang ngayon d ko maunawaan bakit yung number 2 leni candidate ang hinihila nya pababa, gayong para manalo sya eh kailangan nyang talunin yung number 1 bbm. di ba kayo nagtataka? sabi nya, maiba naman, ehh, ibang iba talaga sya sa lahat. parang tanga lang.",2022-05-07 23:57:00,31,negative,
"280k po sa barako para kay leni at kiko batangas grand rally . at ang rally po sa lipa ay hindi po para kay isko, proclamation rally po yun para sa local candidates",2022-05-07 23:56:52,0,neutral,
"parang ang fresh ng press sa campaign trail ni vp leni. dun sa isa parang kulang nalang takpan kamera at ipagtabuyan. ay wait, nangyari pala talaga yun",2022-05-07 23:56:52,0,negative,
ung mga supporters nito wag niyo na po siya pag aksayahan ng inyong mga boto.. kesa sa knya ibigay niyo na lang po ang boto niyo kay vp leni robredo a kiko pangilinan.,2022-05-07 23:56:46,2,negative,
good morning sating mga uhaw sa good governance for lenikiko!!,2022-05-07 23:56:26,1,positive,
wag sayangin ang isang leni robredo because losing is not her loss but it is our loss. wala ng isang katulad niya😭,2022-05-07 23:56:26,0,positive,
mga atheists na napadasal for lenikiko!,2022-05-07 23:56:20,3,positive,
hindi daw nasasama sa masterlist kapag nakitang may leni tarp sa tapat ng bahay nung nagikot yung taga brgy. mga di daw nagpapabayad,2022-05-07 23:56:14,0,negative,
"so shes in favor of environmental protections, since she wants to take care of our homeclean renewable energy and all that?",2022-05-07 23:56:00,0,positive,
buti ka pa ang lapit mo sa stage. napadpad ako sa paseo center na hindi gumagana yung led screen pero laban lang basta para kay leni at kiko.,2022-05-07 23:55:58,0,positive,
i dont understand my office mates. they have the capacity to choose chel over robin but still choose blengbong over leni??,2022-05-07 23:55:46,1,negative,
saludo sa lahat ng kababayan natin na uuwi pa ng probinsya maiboto lang si vp leni!! salamat sa sakripsiyo at dedikasyon niyo para sa bayan,2022-05-07 23:55:24,0,positive,
sino ba hindi nag pakita ng drug test result? si leni dba!,2022-05-07 23:55:18,0,negative,
asala sambandam leni dantlo velupetti without thinking about the consequences ala matladtam chala tappu oka star hero poster medha that too who gave biggest blockbusters back to back in his movies that moment i started disliking her ah vishyam tho polste migatha valavi chinnave,2022-05-07 23:55:11,0,negative,
matalino teh si vico same with joy belmonte ramdam na nilo that leni the vp will lose.,2022-05-07 23:55:11,1,negative,
mga taga edsa side ng pioneer pero hinatid sa shaw side for leni.,2022-05-07 23:55:03,2,positive,
"happy mother's day sa mama ko, tita nora at kay mama leni!!",2022-05-07 23:54:57,0,positive,
"happy mothers day to my nanay, ate, and all my mommy friends! ang wish ko po para sa inyo ay manalo si leni robredo, kiko pangilinan, at vico sotto. ipanalona10to ipanalona10parasalahat umaagosangpagasa",2022-05-07 23:54:52,1,positive,
go beh boto nyo si leni pero wag kayong mambastos jusq,2022-05-07 23:54:50,0,positive,
"vp leni pls, ipanalo na10 to kulayrosasangbukas lenikiko2022 sagobyernongtapatangatbuhaylahat",2022-05-07 23:54:49,0,neutral,
walang boses today dahil tinodo sa pagsigaw kahapon for leni.,2022-05-07 23:54:49,7,positive,
ogag ka tlga iskuyukot. mga nasa laylayan nga focus ni vp leni eh. tignan mo personal n buhay nya compare sau. ung bahay mo compare mo s knya asa k p b n mananalo ka. ngaun wala k ng pwesto ogag. ppalitan kn ni atty lopez hinay hinay lng kc..,2022-05-07 23:54:42,0,negative,
"happy mother's day sa mama kong lodi. ma, vote leni for me labyu",2022-05-07 23:54:41,0,positive,
i am so happy i found another ally in my family my lola is for leni!,2022-05-07 23:54:39,2,positive,
omg this is embarrassing,2022-05-07 23:54:34,1,neutral,
manifesting leni to win,2022-05-07 23:54:34,20,positive,
leni represents good governance?,2022-05-07 23:54:32,0,neutral,
tapos neighbor namon kay tanan sila leni huhu,2022-05-07 23:54:23,0,neutral,
"i dont have a script. we can discuss about leni's platforms if you want. like 'balik' manufacturing or unemployment benefits, you can choose as you want. di ako bobo katulad nyo na lahat ng bagay is about magnanakaw at sinungaling. my brain can absorb more info than that.",2022-05-07 23:54:23,0,negative,
nag away pa kamw ng lola ko na solid bbm hahahaha para lang makapunta kay leni,2022-05-07 23:54:23,0,negative,
"ok, leni ang mga kapitbahay namin dito!",2022-05-07 23:54:19,1,positive,
