text,timestamp,like_count,trueSentiment
happy mother day mom thank best mom grandmother taught concept giving titas constantly reminding keep faith lord madam leni robredo giving much hope better tomorrow,2022-05-07 23:59:59,1,pos
im cry vp leni win,2022-05-07 23:59:50,10,neut
thank rajiv,2022-05-07 23:59:39,0,neut
rooting silent majority need leni,2022-05-07 23:59:34,0,neut
havent even vp lenis rally feel allowed,2022-05-07 23:59:34,2,neut
leni love point gotta call cop bruv,2022-05-07 23:59:34,0,neut
abah mana sa idol strength right there election yet win dont use coke often thats stupid loser babym hit even though count 3 time still lose,2022-05-07 23:59:33,1,neg
shes exhausted tired due heat tarpaulin covering half body one reason supporter reason leni would fail,2022-05-07 23:59:22,0,neg
im one supporting leni house imagine hear everyday,2022-05-07 23:59:21,0,neut
unithieves seems tendency pay lenikiko participate voluntarily may believe paid concept volunteerism paid artist already outdated hahaha squammy,2022-05-07 23:59:21,1,neut
leni kiko win motto respect opinion popular side candidate become invoke right self incrimination clean government,2022-05-07 23:59:11,2,neut
bkt join c leni smni debate hope face c bbm prof carlos n smart,2022-05-07 23:59:11,0,neut
lord please guide everyone monday may goodness win let leni kiko win,2022-05-07 23:59:06,8,pos
1st break leni,2022-05-07 23:58:58,0,neut
cousin lss already rose let go pls,2022-05-07 23:58:55,1,neut
drug user leni,2022-05-07 23:58:55,0,neut
dear filipino even michael jordan scottie pippen needed elite supporting cast let forget vote lenikikos supporting cast senatorial slate,2022-05-07 23:58:42,0,neut
history making 1m supporter vp leni meeting de avance makati,2022-05-07 23:58:27,0,neut
thought iskonians campaign cool said theyre moving end still hit vp leni even though shes paying attention maybe he hotheaded he ignored,2022-05-07 23:58:26,8,neut
ive readheard many speech ive written say vp lenis speech makati mda definitely one best speech ever writtenand delivered,2022-05-07 23:58:22,2,pos
today watch,2022-05-07 23:58:14,0,neut
medic leni,2022-05-07 23:58:12,0,neut
anxiety week election retdem week even fail retdem ok long pres leni robredo vp kiko pangilinan im ok,2022-05-07 23:58:07,6,neut
im nervous tomorrow election high hope leni win president kiko vicepresident,2022-05-07 23:58:03,0,neut
say hakot one paid hahaha made volunteer leni camp,2022-05-07 23:58:02,1,neut
replied pork samgy grad pic vp leni hahahahaha,2022-05-07 23:58:02,0,neut
disrespectful supreme court decided case favor leni dont believe highest court land believe face book tik tok read get healed shame read may god bless,2022-05-07 23:57:59,1,neg
never heard prrd say leni stronger possible,2022-05-07 23:57:56,0,neut
throw drinking leni okay byee,2022-05-07 23:57:56,1,neut
yikes,2022-05-07 23:57:55,1,neg
youre cute dont miss leni also steal stupid junkshop public teacher,2022-05-07 23:57:49,0,neut
last night drink discussed lenis platform told vote leni long vote diokno ta colmenares senator,2022-05-07 23:57:49,1,neut
nope see post btc call week munger,2022-05-07 23:57:45,0,neut
back hurt leni,2022-05-07 23:57:33,0,neg
least may 9 vp leni spend time girl daughter,2022-05-07 23:57:27,8,neut
preelection anxiety vp leni dont worry make win,2022-05-07 23:57:21,10,neut
bbm youre pretending youre still bbm youre still,2022-05-07 23:57:05,0,neut
bbmsara lenikiko wont win friend right lavern philippine,2022-05-07 23:57:05,1,neg
happy mother day mama leni,2022-05-07 23:57:05,0,pos
dont understand pulling number 2 leni candidate order win defeat number 1 bbm arent surprised said different heh he really different everyone else stupid,2022-05-07 23:57:00,31,neg
280k barako leni kiko batangas grand rally rally lipa isko proclamation rally local candidate,2022-05-07 23:56:52,0,neut
look like press fresh vp lenis campaign trail one seems like enough cover camera throw away oh wait actually happened,2022-05-07 23:56:52,0,neut
supporter dont waste vote instead give vote vp leni robredo kiko pangilinan,2022-05-07 23:56:46,2,neut
daddy lenikiko,2022-05-07 23:56:33,2,neut
pre den te leni robredo,2022-05-07 23:56:33,0,neut
good morning thirsty good governance lenikiko,2022-05-07 23:56:26,1,pos
dont waste leni robredo losing loss loss one like,2022-05-07 23:56:26,0,neg
cry leni kiko,2022-05-07 23:56:22,0,neut
atheist prayed lenikiko,2022-05-07 23:56:20,3,neut
said included masterlist leni tarp seen front house person brgy went around dont pay,2022-05-07 23:56:14,0,neut
shes favor environmental protection since want take care homeclean renewable energy,2022-05-07 23:56:00,0,pos
close stage stumbled upon paseo center led screen working leni kiko,2022-05-07 23:55:58,0,neut
