text,timestamp,like_count
proud president bbm knowledgeable articulate confident god bless family also vice president sara god bless,2021-12-07 00:00:00,
proud next president bbmgod bless always protect bbm family,2021-12-07 00:00:00,
mother dislike,2021-12-07 00:00:00,
robert basan abella jr sad life dont mama lenlen spread word,2021-12-07 00:00:00,
robert basan abella jr failed thesis bos,2021-12-07 00:00:00,
robert basan abella jr 002 sir,2021-12-07 00:00:00,
robert basan abella jr 5 day old baby,2021-12-07 00:00:00,
robert basan abella jr im going leave soon sir,2021-12-07 00:00:00,
pinklawans,2021-12-07 00:00:00,
robert basan abella jr mother leni love,2021-12-07 00:00:00,
robert basan abella jr family rejected,2021-12-07 00:00:00,
robert basan abella jr thats dont want fight comment section maybe ill gone 30 day might reported let go dont bother let support bbm even dont respect understand,2021-12-07 00:00:00,
robert basan abella jr bbm said thank everyone watching,2021-12-07 00:00:00,
robert basan abella jr good thing love son one stole inherited bong bong mo hihi,2021-12-07 00:00:00,
pink stupidity bind,2021-12-07 00:00:00,
robert basan abella jr still angry emowhat pity thembbm made angry,2021-12-07 00:00:00,
laughed 18 hour,2021-12-07 00:00:00,
robert basan abella jr hahaha bet fake account mostly bitter still asleep,2021-12-07 00:00:00,
ej subiere im restrained im nice hahaha dont ask many accts hahaha,2021-12-07 00:00:00,
robert basan abella jr thats enough mother care,2021-12-07 00:00:00,
robert basan abella jr im happy win bbm promise,2021-12-07 00:00:00,
robert basan abella jr c bbm one truly love others,2021-12-07 00:00:00,
robert basan abella jr lost troll,2021-12-07 00:00:00,
robert basan abella jr truth tried 035 total reacted,2021-12-07 00:00:00,
anja malics experience hahahaha kc psawys hahaha ramdm karati sign ban q 24 h hahaha friend monton i2 hahaha,2021-12-07 00:00:00,
ej subiere im laughing hard dont hit anymore even worse hahaha,2021-12-07 00:00:00,
melbeth esteban well ive experienced everything 30 day acct never returned dont ask many,2021-12-07 00:00:00,
anja malics something like thats signed please kind enough send picture want fight c bbm sara,2021-12-07 00:00:00,
melbeth esteban taba hahaha ok bbmsar,2021-12-07 00:00:00,
thats,2021-12-07 00:00:00,
robert basan abella jr hahahaha omsim pure divorce socmed haha,2021-12-07 00:00:00,
youre right im teasing let mercy curl poor,2021-12-07 00:00:00,
robert basan abella jr troll course long im solid,2021-12-07 00:00:00,
long live president brilliant proud long live,2021-12-07 00:00:00,
brilliant intelligence proud itlike father like sonbongbong marcos may lord god protect always family,2021-12-07 00:00:00,
future president congrats stay safe god bless family proud,2021-12-07 00:00:00,
like father intelligent kind person god bless family stay safe always,2021-12-07 00:00:00,
god bless protect president bbm hope countrywith vice president sarahmake country known world prosperity peaceful place live leadershipma philippine live,2021-12-07 00:00:00,
proud next president answered correctly knowledgeable keep safe po god protect always,2021-12-07 00:00:00,
best among rest sir good luck always take care traveling around philippine god bless,2021-12-07 00:00:00,
salute president god bless protect always,2021-12-07 00:00:00,
