text,timestamp,like_count,sentiment,vaderSentiment,naiveBayesSentiment,svmSentiment,logisticRegressionSentiment
"we are proud president bbm. very knowledgeable, articulate and confident. god bless you and your family. also our vice president. sara. god bless you both.",2021-12-07 00:00:00,,,positive,pos,pos,pos
we are proud for our next president bbmgod bless always and protect bbm and his family,2021-12-07 00:00:00,,,positive,pos,pos,pos
mga hindi mahal ng nanay.,2021-12-07 00:00:00,,,neutral,neut,neut,neut
robert basan abella jr. malungkot buhay kasi wala mama lenlen nila para magkalat,2021-12-07 00:00:00,,,neutral,neut,neut,neut
robert basan abella jr. mga .002 lang sila sir😂😂,2021-12-07 00:00:00,,,neutral,neut,neut,neut
robert basan abella jr. nabyag nga alis dagita sir!,2021-12-07 00:00:00,,,neutral,neut,neut,neut
mga pinklawan mga yan,2021-12-07 00:00:00,,,neutral,neut,neut,neut
"robert basan abella jr. mahal po sila ng nanay nila, si leni 😂😂",2021-12-07 00:00:00,,,negative,neg,neut,neut
robert basan abella jr. tinakwil ng pamilya mga yan,2021-12-07 00:00:00,,,neutral,neut,neut,neut
robert basan abella jr. kaya ayuko makipag away dito sa comment section kasi baka ma ban nanaman ako ng 30 days. baka mareport. kaya hayaan nyo nalang sila at wag pakialaman. let's support bbm nalang. kahit wala sila respect intindihin nyo nalang.,2021-12-07 00:00:00,,,positive,neut,neut,neut
robert basan abella jr. salamat daw sabi n bbm sa lahat ng nanonood 😂,2021-12-07 00:00:00,,,neutral,neg,neut,neut
"robert basan abella jr. buti nalang mahal nila anak nila, ung ninakaw nila pinamana kay bong bong mo hihi",2021-12-07 00:00:00,,,neutral,neut,neut,neut
pink pinagbuklod ito ng kabobohan,2021-12-07 00:00:00,,,neutral,neut,neut,neut
robert basan abella jr. at may galit emo pa..kaawa naman sila..ginalit ni bbm,2021-12-07 00:00:00,,,neutral,neut,neut,neut
mga 18 hours din tawa nila 😂,2021-12-07 00:00:00,,,neutral,neut,neut,neut
robert basan abella jr. hahaha pustahan mga ngpapanggap na account karamihan jan bitter at tulog pa!,2021-12-07 00:00:00,,,positive,neut,neut,neut
ej subiere same pigil na pigil na rin ako mabait na ko ngyon hahaha wag mo na itanong pang ilan acct na to hahaaha,2021-12-07 00:00:00,,,positive,neut,neut,neut
robert basan abella jr. mha kulang sa aruga ng inang nila yan,2021-12-07 00:00:00,,,neutral,neg,neut,neut
robert basan abella jr. masaya lng cla kc panalo na c bbm promise,2021-12-07 00:00:00,,,positive,neut,neut,neut
robert basan abella jr. c bbm lng ang my tunay na pgmmhal sa kapwa,2021-12-07 00:00:00,,,neutral,neut,neut,neut
robert basan abella jr. mga nawawalang trolls,2021-12-07 00:00:00,,,neutral,neut,neut,neut
robert basan abella jr. truth! yung nagtangka sila pero 0.35 lang sila sa total ng nag react,2021-12-07 00:00:00,,,negative,neg,neut,neut
anja malics maranasan nyo rin hahahha mga psawy kc hahaha ramdm karati lng sign nun na ban q 24 h haha kamag ank n ata ni monton i2 hahhaha,2021-12-07 00:00:00,,,positive,neut,neut,neut
ej subiere grabing tawa ko wag na patulan malmng cla malala pa hahaha,2021-12-07 00:00:00,,,positive,neut,neut,neut
melbeth esteban taba lahat po naranasan ko na ban 30 dys lahat na tapos hindi na nabalik acct ko wag mo na itanong pang ilan na to grabe kaya bait nko pero minsan para kay bbm nakakasagot pa rin hahhahaha,2021-12-07 00:00:00,,,negative,neg,neut,neut
anja malics may ganun aq yun lang karati sign lng ban agd pakabait na q kaya mga picture nlng send ko din pag gusto ko pag laban c bbm sara,2021-12-07 00:00:00,,,negative,neut,neut,neut
bagay na bagay,2021-12-07 00:00:00,,,neutral,neut,neut,neut
tama ka dyan. ako mangaasar na lang ako. maawa tayo sa mga kulelat. kawawa naman sila.,2021-12-07 00:00:00,,,neutral,neut,neut,neut
mabuhay po kayo our president your brilliant we are proud mabuhay,2021-12-07 00:00:00,,,positive,pos,pos,pos
a brilliant inteligence proud it!.like father like son.bongong marcos . may the lord god protect you alwys and your family.,2021-12-07 00:00:00,,,positive,neut,neut,neut
our future president congrats po stay safe gos bless your family we are very proud of you.,2021-12-07 00:00:00,,,positive,pos,pos,pos
"you are like your father very intelligent and kind person , god bless your family and stay safe always",2021-12-07 00:00:00,,,positive,pos,pos,neut
god bless protect our president bbm the hope ofour country..with vice president sarah..make our country be known to the world for its prosperity peaceful place to live in by your own leadership..ma buhay ang pilipinas.,2021-12-07 00:00:00,,,positive,pos,pos,neut
we are very proud of you our next president you answered it correctly very knowledgeable keep safe po and god will protect always,2021-12-07 00:00:00,,,positive,pos,pos,neut
you are the best among the rest sir. good luck and always take care on travelling around the philippines god bless,2021-12-07 00:00:00,,,positive,pos,pos,pos
i salute you my president ! god bless you and protect you always !,2021-12-07 00:00:00,,,positive,pos,pos,neut
"well done po. may god continue to bless you with wisdom and courage. we need a leader like you. kudos bbm sarah, the marcoses and supporters.",2021-12-07 00:00:00,,,positive,pos,pos,neut
congratulations sir! from the start you already have my vote. now my partner saw yoyr potential he might change his mind and you will win him over soon. although he is american by citizenship but he is a filipino by heart.,2021-12-07 00:00:00,,,positive,pos,neut,neut
congratulations bbm2022 may god continue to bless you and your family,2021-12-07 00:00:00,,,positive,pos,pos,pos
you are the best! may god bless you always.,2021-12-07 00:00:00,,,positive,pos,pos,pos
"brilliant brave man,, god bless my president.",2021-12-07 00:00:00,,,positive,pos,pos,pos
zudoarichikito mekashita wag ka dito bawal pink dito hahahha,2021-12-07 00:00:00,,,negative,neut,neut,neut
congrats sir bbm we are proud of you.god bless u and ur family.,2021-12-07 00:00:00,,,positive,pos,pos,pos
kudos! you nailed it! keep safe always sir godbless!..,2021-12-07 00:00:00,,,positive,pos,neut,neut
congratulations to our soon mr. president godbless and keep safe always praying for your goodluck!!,2021-12-07 00:00:00,,,positive,neut,neut,neut
kudos to our future president for your brilliant answers! we are so proud of you! god bless always. we love you!,2021-12-07 00:00:00,,,positive,pos,pos,pos
"myra divinagracia modesty aside ak ko lang nasaan na kaya yung mga nagsasabing duwag si bbm, makapanira sila eh sila naman pala itong",2021-12-07 00:00:00,,,neutral,neg,neut,neut
"nitz ringpis torrado yaan na po, at least hindi tayo bulag para makita natin kung ano ang totoo at kung sino ang dapat ilukluk. god looks at the heart po, kaya sya ang bahala sa mga mapanira na yan.",2021-12-07 00:00:00,,,negative,neg,neut,neut
"nitz ringpis torrado oo nga grabe,at kaya naduwag eh dhil hnd nila kakayanin ang ganong sitwasyon,dhil may plataforma na tlga c bbm,eh ung iba,puro pangbebengga lng ang alam at mga pasaring",2021-12-07 00:00:00,,,neutral,neut,neut,neut
myra divinagracia may point ka dyan. lets all pray together na wala na namang dayaan na magaganap sa halalan.,2021-12-07 00:00:00,,,positive,neut,neut,neut
"nitz ringpis torrado yes, always praying po.",2021-12-07 00:00:00,,,positive,neut,neut,neut
"kudos our president brilliant, smart ideas and point of views for a better philippines looking forward with success in everything you, with the guidance of our lord. we love and support you mahal naming pangulo ng pilipinas, god bless you always",2021-12-07 00:00:00,,,positive,pos,pos,pos
bbm is the best i salute on you. good job sir your answers goes directly to the questions. god bless you!,2021-12-07 00:00:00,,,positive,pos,pos,pos
