text,created_at,like_count,trueSentiment,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
happy mother day mom thank best mom grandmother taught concept giving titas constantly reminding keep faith lord madam leni robredo giving much hope better tomorrow,2022-05-07 23:59:59,1,,,,,,
im cry vp leni win,2022-05-07 23:59:50,10,,,,,,
thank rajiv,2022-05-07 23:59:39,0,,,,,,
rooting silent majority need leni,2022-05-07 23:59:34,0,,,,,,
havent even vp lenis rally feel allowed,2022-05-07 23:59:34,2,,,,,,
leni love point gotta call cop bruv,2022-05-07 23:59:34,0,,,,,,
abah mana sa idol strength right there election yet win dont use coke often thats stupid loser babym hit even though count 3 time still lose,2022-05-07 23:59:33,1,,,,,,
shes exhausted tired due heat tarpaulin covering half body one reason supporter reason leni would fail,2022-05-07 23:59:22,0,,,,,,
im one supporting leni house imagine hear everyday,2022-05-07 23:59:21,0,,,,,,
unithieves seems tendency pay lenikiko participate voluntarily may believe paid concept volunteerism paid artist already outdated hahaha squammy,2022-05-07 23:59:21,1,,,,,,
leni kiko win motto respect opinion popular side candidate become invoke right self incrimination clean government,2022-05-07 23:59:11,2,,,,,,
bkt join c leni smni debate hope face c bbm prof carlos n smart,2022-05-07 23:59:11,0,,,,,,
lord please guide everyone monday may goodness win let leni kiko win,2022-05-07 23:59:06,8,,,,,,
1st break leni,2022-05-07 23:58:58,0,,,,,,
cousin lss already rose let go pls,2022-05-07 23:58:55,1,,,,,,
drug user leni,2022-05-07 23:58:55,0,,,,,,
dear filipino even michael jordan scottie pippen needed elite supporting cast let forget vote lenikikos supporting cast senatorial slate,2022-05-07 23:58:42,0,,,,,,
history making 1m supporter vp leni meeting de avance makati,2022-05-07 23:58:27,0,,,,,,
thought iskonians campaign cool said theyre moving end still hit vp leni even though shes paying attention maybe he hotheaded he ignored,2022-05-07 23:58:26,8,,,,,,
ive readheard many speech ive written say vp lenis speech makati mda definitely one best speech ever writtenand delivered,2022-05-07 23:58:22,2,,,,,,
today watch,2022-05-07 23:58:14,0,,,,,,
medic leni,2022-05-07 23:58:12,0,,,,,,
anxiety week election retdem week even fail retdem ok long pres leni robredo vp kiko pangilinan im ok,2022-05-07 23:58:07,6,,,,,,
im nervous tomorrow election high hope leni win president kiko vicepresident,2022-05-07 23:58:03,0,,,,,,
say hakot one paid hahaha made volunteer leni camp,2022-05-07 23:58:02,1,,,,,,
replied pork samgy grad pic vp leni hahahahaha,2022-05-07 23:58:02,0,,,,,,
disrespectful supreme court decided case favor leni dont believe highest court land believe face book tik tok read get healed shame read may god bless,2022-05-07 23:57:59,1,,,,,,
never heard prrd say leni stronger possible,2022-05-07 23:57:56,0,,,,,,
throw drinking leni okay byee,2022-05-07 23:57:56,1,,,,,,
yikes,2022-05-07 23:57:55,1,,,,,,
youre cute dont miss leni also steal stupid junkshop public teacher,2022-05-07 23:57:49,0,,,,,,
last night drink discussed lenis platform told vote leni long vote diokno ta colmenares senator,2022-05-07 23:57:49,1,,,,,,
nope see post btc call week munger,2022-05-07 23:57:45,0,,,,,,
back hurt leni,2022-05-07 23:57:33,0,,,,,,
least may 9 vp leni spend time girl daughter,2022-05-07 23:57:27,8,,,,,,
preelection anxiety vp leni dont worry make win,2022-05-07 23:57:21,10,,,,,,
bbm youre pretending youre still bbm youre still,2022-05-07 23:57:05,0,,,,,,
bbmsara lenikiko wont win friend right lavern philippine,2022-05-07 23:57:05,1,,,,,,
happy mother day mama leni,2022-05-07 23:57:05,0,,,,,,
dont understand pulling number 2 leni candidate order win defeat number 1 bbm arent surprised said different heh he really different everyone else stupid,2022-05-07 23:57:00,31,,,,,,
280k barako leni kiko batangas grand rally rally lipa isko proclamation rally local candidate,2022-05-07 23:56:52,0,,,,,,
look like press fresh vp lenis campaign trail one seems like enough cover camera throw away oh wait actually happened,2022-05-07 23:56:52,0,,,,,,
supporter dont waste vote instead give vote vp leni robredo kiko pangilinan,2022-05-07 23:56:46,2,,,,,,
daddy lenikiko,2022-05-07 23:56:33,2,,,,,,
pre den te leni robredo,2022-05-07 23:56:33,0,,,,,,
good morning thirsty good governance lenikiko,2022-05-07 23:56:26,1,,,,,,
dont waste leni robredo losing loss loss one like,2022-05-07 23:56:26,0,,,,,,
cry leni kiko,2022-05-07 23:56:22,0,,,,,,
atheist prayed lenikiko,2022-05-07 23:56:20,3,,,,,,
said included masterlist leni tarp seen front house person brgy went around dont pay,2022-05-07 23:56:14,0,,,,,,
shes favor environmental protection since want take care homeclean renewable energy,2022-05-07 23:56:00,0,,,,,,
close stage stumbled upon paseo center led screen working leni kiko,2022-05-07 23:55:58,0,,,,,,
dont understand office mate capacity choose chel robin still choose blengbong leni,2022-05-07 23:55:46,1,,,,,,
greeting compatriot return home province vote vp leni thank sacrifice dedication people,2022-05-07 23:55:24,0,,,,,,
cry lenikiko,2022-05-07 23:55:22,0,,,,,,
didnt show drug test result leni dba,2022-05-07 23:55:18,0,,,,,,
asala sambandam leni dantlo velupetti without thinking consequence ala matladtam chala tappu oka star hero poster medha gave biggest blockbuster back back movie moment started disliking ah vishyam tho polste migatha valavi chinnave,2022-05-07 23:55:11,0,,,,,,
vico smart joy belmonte feel leni vp lose,2022-05-07 23:55:11,1,,,,,,
people edsa side pioneer delivered shaw side leni,2022-05-07 23:55:03,2,,,,,,
happy mother day mom aunt nora mom leni,2022-05-07 23:54:57,0,,,,,,
happy mother day mom sister mommy friend wish leni robredo kiko pangilinan vico sotto win,2022-05-07 23:54:52,1,,,,,,
go vote leni dont rude yet,2022-05-07 23:54:50,0,,,,,,
vp leni pls win 10,2022-05-07 23:54:49,0,,,,,,
voice today yesterday shouting leni,2022-05-07 23:54:49,7,,,,,,
youre going squirm vp lenis focus bottom look personal life compared compare house hope win thats dont place atty lopez replace slowly,2022-05-07 23:54:42,0,,,,,,
super smart babbling hahshshahahahahaha said even win streak ph sa miss u broken long vp leni win,2022-05-07 23:54:42,2,,,,,,
happy mother day mom lodi vote leni labyu,2022-05-07 23:54:41,0,,,,,,
im happy found another ally family lola leni,2022-05-07 23:54:39,2,,,,,,
sai da conta andre vei,2022-05-07 23:54:37,0,,,,,,
omg embarrassing,2022-05-07 23:54:34,1,,,,,,
manifesting leni win,2022-05-07 23:54:34,20,,,,,,
leni represents good governance,2022-05-07 23:54:32,0,,,,,,
didnt watch leni reifenstahls film either,2022-05-07 23:54:28,0,,,,,,
leni neighbor huhu,2022-05-07 23:54:23,0,,,,,,
