text,created_at,like_count,,,,,,
"Happy Mother's Day to my Mom. Thank you for being the best, Mama for me.   To my Lola who taught me the concept of giving.   To my Titas, for constantly reminding me to keep my faith in the Lord.   To Madam Leni Robredo, for giving me so much hope for a better tomorrow.",2022-05-07 23:59:59,1,,,,,,
"Naiiyak ako, VP Leni ipapanalo ka namin🥺",2022-05-07 23:59:50,10,,,,,,
@rajivs83 @PopularMr Thank you Rajiv.,2022-05-07 23:59:39,0,,,,,,
I am rooting for that silent majority! We need Leni!,2022-05-07 23:59:34,0,,,,,,
"ni isa wala akong napuntahang rally ni VP Leni, ano po feeling ng pinapayagan? (╥_╥)",2022-05-07 23:59:34,2,,,,,,
"@Lenijohny6969 @harusajin Leni, i love you but at this point i gotta call the cops on you bruv",2022-05-07 23:59:34,0,,,,,,
@7bbmmypresident @RiskIt4DBiskit Abah??? Mana SA Idol nya..LAKAS NG TAMA AH? WALA PANG ELECTION..PANALO NA DAW SILA? Wag dalasan ang paggamit Ng COKE..nakaka Tanga Yan🤣🤣🤣  Loser? Tinamaan si BabyM. Kahit mare count Ng 3 times TALO pa rin 🤣🤣🤣,2022-05-07 23:59:33,1,,,,,,
@jnery_newsstand @lenirobredo Shes exhausted and tired due to the heat. But why is there a tarpaulin covering half of her body. This is one of the reasons why the supporters will be the reason why Leni would fail.,2022-05-07 23:59:22,0,,,,,,
I`m the only one supporting Leni in our house. Imagine what I hear everyday🤮,2022-05-07 23:59:21,0,,,,,,
@Jackylynrose60 @GranteQwerty @alex_abano Parang mas may tendency magbayad ang UniThieves. Boluntaryong nakikilahok ang nga nasa Leni-Kiko (di ka siguro makapaniwala kasi para sayo pahat dapat bayad kasi wala kang konsepto ng volunteerism). Sa inyo nga bayad na artista na nga mga laos pa HAHAHA squammy kasi kayo,2022-05-07 23:59:21,1,,,,,,
"Pag nanalo si Leni at Kiko, ang motto na “respect my opinion” na sikat sa panig ng isang kandidato, magiging, “I invoke my rights against self incrimination.” Linisin ang gobyerno! 🌸🌸🌸",2022-05-07 23:59:11,2,,,,,,
@kasmot_07 @rapplerdotcom bkt d sumali c leni s debate ng smni? sana nkaharap nya c bbm at prof carlos n matalino,2022-05-07 23:59:11,0,,,,,,
"Lord please gabayan niyo po ang lahat sa Monday. Naway ipanalo niyo po ang kabutihan, ipanal niyo po si Leni at Kiko.🙏",2022-05-07 23:59:06,8,,,,,,
Walang 1st break for leni 💕💕,2022-05-07 23:58:58,0,,,,,,
"Sa pinsan kong lss na sa rosas, leni na tayo pls.🌸",2022-05-07 23:58:55,1,,,,,,
@BosyoJ 😂😂😂😂drug  user  for  leni😂😂😂,2022-05-07 23:58:55,0,,,,,,
"Dear Filipinos, even Michael Jordan and Scottie Pippen needed an elite supporting cast.   Let's not forget to vote for Leni-Kiko's supporting cast, their senatorial slate.  🌸🌸🌸  #Ipana7oNa10ParaSaLahat",2022-05-07 23:58:42,0,,,,,,
@vivaPINAS History in the making of 1M supporters of VP Leni Meeting De Avance in Makati.💗💗💗💚💚💚,2022-05-07 23:58:27,0,,,,,,
"@inquirerdotnet @melvingasconINQ Akala ko ba cool lang daw ang kampanya ng mga iskonians, move on na daw, pero hanggang sa huli talaga me patama pa rin kay VP Leni, kahit di naman sya pinapansin! O baka kaya mainit ang ulo dahil di pinapansin? 🤔",2022-05-07 23:58:26,8,,,,,,
"I've read/heard many speeches and I've written a few myself, and i can say that VP Leni's speech in the Makati MDA was definitely was one of the best speeches ever written--and delivered! #lenikiko2022 #kakampinks #tropangangat #GobyernongTapatAngatBuhayLahat",2022-05-07 23:58:22,2,,,,,,
@JamesCo09217405 Not today. Watch it for me!!!!,2022-05-07 23:58:14,0,,,,,,
Mga na-medic for Leni,2022-05-07 23:58:12,0,,,,,,
anxiety week is here 🤩 elections and retdem sa iisang week 🤩 bumagsak man ako sa retdem ok lang basta may Pres. Leni Robredo at VP Kiko Pangilinan ok na ako 🤩,2022-05-07 23:58:07,6,,,,,,
kinakabahan ako for tomorrow's election pero malaki ang pagasa kong si Leni ang mananalo as president at si Kiko for vice-president!!!!!!  #LeniKiko2022 #LeniKikoAllTheWay2022 #ipana7ona10toparasalahat #IbotoNa10Pilipinas,2022-05-07 23:58:03,0,,,,,,
"when we say hakot, ganito yun yung may bayad hahaha pinapareho nyo kasi sa volunteers ng leni camp e",2022-05-07 23:58:02,1,,,,,,
@anamariedln Sagot ko na pork sa samgy sa grad pic kapagnanalo si vp leni  hahahahah,2022-05-07 23:58:02,0,,,,,,
"@lvvasquez22 @lenirobredo Mawalang galang lang  po, supreme court has decided the case in favor of Leni , kung hindi ka maniniwala sa highest court of the land ? sa an ka maniniwala sa face book sa tik tok? MAGBASA BASA KA NAMAN BAGO KA MAGMAMAGALING . Nakakahiya naman sa mga nagbabasa.may God Bless you.",2022-05-07 23:57:59,1,,,,,,
@olanghigap @Teddybird wala akong narinig na sinabi ni PRRD na mas malakas si Leni.. pwede ba?,2022-05-07 23:57:56,0,,,,,,
Mga sumusuka sa inuman for leni 😭 okay byeee,2022-05-07 23:57:56,1,,,,,,
@Jackseesall Yikes,2022-05-07 23:57:55,1,,,,,,
@like_a_rose_a1 Lening leni ka jan! Di mo ba nagets! Magnanakaw rin si leni kaloka junkshop mo na pagiging public teacher mo,2022-05-07 23:57:49,0,,,,,,
"kagabi sa inuman, dinidiscuss ko plataporma ni Leni. Sabi ko sa kanila kahit wag na si Leni basta sa senador iboto si Diokno tas Colmenares.",2022-05-07 23:57:49,1,,,,,,
@CredibleLA Nope. See my post about that. BTC call was a week before Munger,2022-05-07 23:57:45,0,,,,,,
Masasakit ang likod for Leni,2022-05-07 23:57:33,0,,,,,,
At least after May 9 VP Leni can spend more time with her all girl daughters.,2022-05-07 23:57:27,8,,,,,,
"nagkakaron nako ng pre-election anxiety. VP Leni, wag kang mag alala, Ipapanalo ka namin!!! 🥲🥲🥲",2022-05-07 23:57:21,10,,,,,,
@albinoailene BBM! Kunwari ka pa na leni ka BBM ka namam pala🤪🤪🤣🤣😂😂,2022-05-07 23:57:05,0,,,,,,
ma BBM-SARA or LENI-KIKO man ang ma daog friend gyapon ta ha? LAVERN PILIPINAS!!!!!,2022-05-07 23:57:05,1,,,,,,
"@lenirobredo Happy Mother’s Day, Mama Leni!! @lenirobredo",2022-05-07 23:57:05,0,,,,,,
